FECHA,HORA,Station,SO2,PART,NO2,CO,O3
2019-01-01,00:10,RONDA DEL VALLE,3,27,11,10,38
2019-01-01,00:10,LAS FUENTEZUELAS,6,NA,19,514,47
2019-01-01,00:20,RONDA DEL VALLE,3,26,14,10,36
2019-01-01,00:20,LAS FUENTEZUELAS,7,NA,29,603,43
2019-01-01,00:30,RONDA DEL VALLE,7,17,11,10,44
2019-01-01,00:30,LAS FUENTEZUELAS,7,NA,25,616,46
2019-01-01,00:40,RONDA DEL VALLE,8,14,28,10,26
2019-01-01,00:40,LAS FUENTEZUELAS,6,NA,16,463,48
2019-01-01,00:50,RONDA DEL VALLE,8,17,25,10,29
2019-01-01,00:50,LAS FUENTEZUELAS,11,NA,35,548,33
2019-01-01,01:00,RONDA DEL VALLE,8,22,15,10,38
2019-01-01,01:00,LAS FUENTEZUELAS,9,NA,52,739,25
2019-01-01,01:10,RONDA DEL VALLE,8,22,8,10,44
2019-01-01,01:10,LAS FUENTEZUELAS,7,NA,20,419,37
2019-01-01,01:20,RONDA DEL VALLE,7,22,22,10,30
2019-01-01,01:20,LAS FUENTEZUELAS,7,NA,14,343,43
2019-01-01,01:30,RONDA DEL VALLE,9,24,52,35,10
2019-01-01,01:30,LAS FUENTEZUELAS,7,NA,26,473,37
2019-01-01,01:40,RONDA DEL VALLE,8,29,58,12,3
2019-01-01,01:40,LAS FUENTEZUELAS,7,NA,53,725,17
2019-01-01,01:50,RONDA DEL VALLE,8,30,54,10,6
2019-01-01,01:50,LAS FUENTEZUELAS,6,NA,17,345,39
2019-01-01,02:00,RONDA DEL VALLE,9,30,51,15,7
2019-01-01,02:00,LAS FUENTEZUELAS,6,NA,27,584,39
2019-01-01,02:10,RONDA DEL VALLE,8,29,47,37,17
2019-01-01,02:10,LAS FUENTEZUELAS,7,NA,67,863,9
2019-01-01,02:20,RONDA DEL VALLE,7,25,14,10,39
2019-01-01,02:20,LAS FUENTEZUELAS,8,NA,63,917,12
2019-01-01,02:30,RONDA DEL VALLE,8,21,23,10,32
2019-01-01,02:30,LAS FUENTEZUELAS,6,NA,47,674,21
2019-01-01,02:40,RONDA DEL VALLE,9,18,54,10,6
2019-01-01,02:40,LAS FUENTEZUELAS,8,NA,27,474,34
2019-01-01,02:50,RONDA DEL VALLE,8,14,38,10,19
2019-01-01,02:50,LAS FUENTEZUELAS,7,NA,24,388,36
2019-01-01,03:00,RONDA DEL VALLE,9,13,46,10,11
2019-01-01,03:00,LAS FUENTEZUELAS,6,NA,24,413,36
2019-01-01,03:10,RONDA DEL VALLE,9,16,48,10,10
2019-01-01,03:10,LAS FUENTEZUELAS,6,NA,19,354,39
2019-01-01,03:20,RONDA DEL VALLE,8,24,57,10,5
2019-01-01,03:20,LAS FUENTEZUELAS,5,NA,20,380,40
2019-01-01,03:30,RONDA DEL VALLE,8,26,51,10,9
2019-01-01,03:30,LAS FUENTEZUELAS,6,NA,18,349,40
2019-01-01,03:40,RONDA DEL VALLE,8,28,39,10,15
2019-01-01,03:40,LAS FUENTEZUELAS,7,NA,25,439,34
2019-01-01,03:50,RONDA DEL VALLE,9,27,40,10,14
2019-01-01,03:50,LAS FUENTEZUELAS,6,NA,17,394,39
2019-01-01,04:00,RONDA DEL VALLE,7,32,41,10,10
2019-01-01,04:00,LAS FUENTEZUELAS,6,NA,17,404,38
2019-01-01,04:10,RONDA DEL VALLE,8,33,47,10,6
2019-01-01,04:10,LAS FUENTEZUELAS,6,NA,21,435,37
2019-01-01,04:20,RONDA DEL VALLE,8,29,46,10,10
2019-01-01,04:20,LAS FUENTEZUELAS,6,NA,17,433,44
2019-01-01,04:30,RONDA DEL VALLE,8,31,45,10,9
2019-01-01,04:30,LAS FUENTEZUELAS,7,NA,15,363,48
2019-01-01,04:40,RONDA DEL VALLE,9,29,47,11,8
2019-01-01,04:40,LAS FUENTEZUELAS,6,NA,31,438,31
2019-01-01,04:50,RONDA DEL VALLE,8,28,49,144,5
2019-01-01,04:50,LAS FUENTEZUELAS,6,NA,42,475,20
2019-01-01,05:00,RONDA DEL VALLE,8,27,49,38,3
2019-01-01,05:00,LAS FUENTEZUELAS,6,NA,33,472,32
2019-01-01,05:10,RONDA DEL VALLE,9,28,47,28,6
2019-01-01,05:10,LAS FUENTEZUELAS,6,NA,24,364,43
2019-01-01,05:20,RONDA DEL VALLE,8,30,46,19,5
2019-01-01,05:20,LAS FUENTEZUELAS,6,NA,22,368,44
2019-01-01,05:30,RONDA DEL VALLE,7,25,40,10,11
2019-01-01,05:30,LAS FUENTEZUELAS,6,NA,22,394,46
2019-01-01,05:40,RONDA DEL VALLE,8,21,48,12,5
2019-01-01,05:40,LAS FUENTEZUELAS,6,NA,19,426,47
2019-01-01,05:50,RONDA DEL VALLE,8,24,54,70,2
2019-01-01,05:50,LAS FUENTEZUELAS,5,NA,15,351,49
2019-01-01,06:00,RONDA DEL VALLE,7,25,56,105,2
2019-01-01,06:00,LAS FUENTEZUELAS,6,NA,19,371,46
2019-01-01,06:10,RONDA DEL VALLE,7,25,54,75,3
2019-01-01,06:10,LAS FUENTEZUELAS,7,NA,27,549,44
2019-01-01,06:20,RONDA DEL VALLE,3,24,42,15,7
2019-01-01,06:20,LAS FUENTEZUELAS,7,NA,18,557,42
2019-01-01,06:30,RONDA DEL VALLE,4,22,48,12,4
2019-01-01,06:30,LAS FUENTEZUELAS,6,NA,18,434,41
2019-01-01,06:40,RONDA DEL VALLE,5,21,45,10,5
2019-01-01,06:40,LAS FUENTEZUELAS,7,NA,14,317,48
2019-01-01,06:50,RONDA DEL VALLE,5,24,50,10,1
2019-01-01,06:50,LAS FUENTEZUELAS,6,NA,10,301,53
2019-01-01,07:00,RONDA DEL VALLE,5,26,49,11,2
2019-01-01,07:00,LAS FUENTEZUELAS,7,NA,16,328,50
2019-01-01,07:10,RONDA DEL VALLE,5,23,50,59,1
2019-01-01,07:10,LAS FUENTEZUELAS,7,NA,19,359,48
2019-01-01,07:20,RONDA DEL VALLE,6,28,53,122,2
2019-01-01,07:20,LAS FUENTEZUELAS,7,NA,15,430,53
2019-01-01,07:30,RONDA DEL VALLE,5,28,46,39,5
2019-01-01,07:30,LAS FUENTEZUELAS,6,NA,15,396,51
2019-01-01,07:40,RONDA DEL VALLE,5,23,53,22,3
2019-01-01,07:40,LAS FUENTEZUELAS,6,NA,10,409,57
2019-01-01,07:50,RONDA DEL VALLE,5,24,52,10,2
2019-01-01,07:50,LAS FUENTEZUELAS,6,NA,14,334,53
2019-01-01,08:00,RONDA DEL VALLE,6,25,53,18,2
2019-01-01,08:00,LAS FUENTEZUELAS,6,NA,16,359,47
2019-01-01,08:10,RONDA DEL VALLE,6,28,55,25,2
2019-01-01,08:10,LAS FUENTEZUELAS,5,NA,11,389,54
2019-01-01,08:20,RONDA DEL VALLE,5,24,49,10,4
2019-01-01,08:20,LAS FUENTEZUELAS,7,NA,25,362,37
2019-01-01,08:30,RONDA DEL VALLE,5,24,44,10,8
2019-01-01,08:30,LAS FUENTEZUELAS,6,NA,23,359,40
2019-01-01,08:40,RONDA DEL VALLE,4,21,34,10,16
2019-01-01,08:40,LAS FUENTEZUELAS,6,NA,8,305,47
2019-01-01,08:50,RONDA DEL VALLE,5,19,37,10,10
2019-01-01,08:50,LAS FUENTEZUELAS,6,NA,14,364,43
2019-01-01,09:00,RONDA DEL VALLE,5,20,38,10,9
2019-01-01,09:00,LAS FUENTEZUELAS,7,NA,33,359,28
2019-01-01,09:10,RONDA DEL VALLE,5,26,34,10,11
2019-01-01,09:10,LAS FUENTEZUELAS,6,NA,31,387,33
2019-01-01,09:20,RONDA DEL VALLE,4,29,27,10,17
2019-01-01,09:20,LAS FUENTEZUELAS,6,NA,21,326,44
2019-01-01,09:30,RONDA DEL VALLE,4,28,36,12,15
2019-01-01,09:30,LAS FUENTEZUELAS,5,NA,20,322,45
2019-01-01,09:40,RONDA DEL VALLE,4,22,30,10,19
2019-01-01,09:40,LAS FUENTEZUELAS,6,NA,21,311,45
2019-01-01,09:50,RONDA DEL VALLE,5,21,33,12,13
2019-01-01,09:50,LAS FUENTEZUELAS,6,NA,21,382,44
2019-01-01,10:00,RONDA DEL VALLE,5,24,27,10,19
2019-01-01,10:00,LAS FUENTEZUELAS,6,NA,20,446,37
2019-01-01,10:10,RONDA DEL VALLE,5,23,18,10,24
2019-01-01,10:10,LAS FUENTEZUELAS,7,NA,20,421,38
2019-01-01,10:20,RONDA DEL VALLE,5,20,19,10,23
2019-01-01,10:20,LAS FUENTEZUELAS,6,NA,14,329,36
2019-01-01,10:30,RONDA DEL VALLE,5,22,24,10,22
2019-01-01,10:30,LAS FUENTEZUELAS,6,NA,11,384,36
2019-01-01,10:40,RONDA DEL VALLE,5,20,25,10,24
2019-01-01,10:40,LAS FUENTEZUELAS,6,NA,12,359,35
2019-01-01,10:50,RONDA DEL VALLE,5,18,20,10,28
2019-01-01,10:50,LAS FUENTEZUELAS,5,NA,13,379,36
2019-01-01,11:00,RONDA DEL VALLE,5,22,15,10,32
2019-01-01,11:00,LAS FUENTEZUELAS,6,NA,14,376,36
2019-01-01,11:10,RONDA DEL VALLE,4,21,14,10,32
2019-01-01,11:10,LAS FUENTEZUELAS,6,NA,17,346,40
2019-01-01,11:20,RONDA DEL VALLE,4,17,13,10,36
2019-01-01,11:20,LAS FUENTEZUELAS,6,NA,16,385,40
2019-01-01,11:30,RONDA DEL VALLE,4,20,14,10,42
2019-01-01,11:30,LAS FUENTEZUELAS,7,NA,22,403,42
2019-01-01,11:40,RONDA DEL VALLE,4,16,17,10,39
2019-01-01,11:40,LAS FUENTEZUELAS,6,NA,18,332,43
2019-01-01,11:50,RONDA DEL VALLE,5,17,15,10,43
2019-01-01,11:50,LAS FUENTEZUELAS,6,NA,21,361,44
2019-01-01,12:00,RONDA DEL VALLE,4,20,13,10,43
2019-01-01,12:00,LAS FUENTEZUELAS,6,NA,17,349,47
2019-01-01,12:10,RONDA DEL VALLE,3,18,14,10,39
2019-01-01,12:10,LAS FUENTEZUELAS,5,NA,15,302,49
2019-01-01,12:20,RONDA DEL VALLE,3,13,16,10,39
2019-01-01,12:20,LAS FUENTEZUELAS,6,NA,13,270,50
2019-01-01,12:30,RONDA DEL VALLE,6,15,17,10,40
2019-01-01,12:30,LAS FUENTEZUELAS,6,NA,11,236,49
2019-01-01,12:40,RONDA DEL VALLE,6,16,16,10,45
2019-01-01,12:40,LAS FUENTEZUELAS,6,NA,9,233,49
2019-01-01,12:50,RONDA DEL VALLE,6,13,12,10,47
2019-01-01,12:50,LAS FUENTEZUELAS,6,NA,8,222,51
2019-01-01,13:00,RONDA DEL VALLE,6,11,11,10,49
2019-01-01,13:00,LAS FUENTEZUELAS,6,NA,9,297,55
2019-01-01,13:10,RONDA DEL VALLE,7,9,10,10,53
2019-01-01,13:10,LAS FUENTEZUELAS,6,NA,7,223,53
2019-01-01,13:20,RONDA DEL VALLE,6,9,10,10,53
2019-01-01,13:20,LAS FUENTEZUELAS,6,NA,7,230,51
2019-01-01,13:30,RONDA DEL VALLE,6,9,10,10,54
2019-01-01,13:30,LAS FUENTEZUELAS,5,NA,6,228,53
2019-01-01,13:40,RONDA DEL VALLE,5,9,10,10,55
2019-01-01,13:40,LAS FUENTEZUELAS,6,NA,5,218,56
2019-01-01,13:50,RONDA DEL VALLE,5,8,9,10,54
2019-01-01,13:50,LAS FUENTEZUELAS,6,NA,5,179,57
2019-01-01,14:00,RONDA DEL VALLE,4,5,11,10,53
2019-01-01,14:00,LAS FUENTEZUELAS,6,NA,4,169,58
2019-01-01,14:10,RONDA DEL VALLE,5,4,12,10,57
2019-01-01,14:10,LAS FUENTEZUELAS,6,NA,4,170,59
2019-01-01,14:20,RONDA DEL VALLE,4,8,13,10,51
2019-01-01,14:20,LAS FUENTEZUELAS,6,NA,5,188,59
2019-01-01,14:30,RONDA DEL VALLE,5,7,15,10,53
2019-01-01,14:30,LAS FUENTEZUELAS,6,NA,5,207,60
2019-01-01,14:40,RONDA DEL VALLE,4,7,15,10,55
2019-01-01,14:40,LAS FUENTEZUELAS,5,NA,6,218,61
2019-01-01,14:50,RONDA DEL VALLE,3,7,15,10,56
2019-01-01,14:50,LAS FUENTEZUELAS,6,NA,5,196,63
2019-01-01,15:00,RONDA DEL VALLE,3,10,17,10,56
2019-01-01,15:00,LAS FUENTEZUELAS,7,NA,6,178,62
2019-01-01,15:10,RONDA DEL VALLE,3,10,18,10,55
2019-01-01,15:10,LAS FUENTEZUELAS,6,NA,6,189,64
2019-01-01,15:20,RONDA DEL VALLE,3,10,18,10,55
2019-01-01,15:20,LAS FUENTEZUELAS,6,NA,6,204,66
2019-01-01,15:30,RONDA DEL VALLE,2,13,17,10,59
2019-01-01,15:30,LAS FUENTEZUELAS,7,NA,7,212,66
2019-01-01,15:40,RONDA DEL VALLE,3,12,17,10,62
2019-01-01,15:40,LAS FUENTEZUELAS,6,NA,7,202,67
2019-01-01,15:50,RONDA DEL VALLE,2,11,16,10,64
2019-01-01,15:50,LAS FUENTEZUELAS,6,NA,7,204,67
2019-01-01,16:00,RONDA DEL VALLE,1,15,16,10,63
2019-01-01,16:00,LAS FUENTEZUELAS,6,NA,6,216,69
2019-01-01,16:10,RONDA DEL VALLE,1,18,16,10,61
2019-01-01,16:10,LAS FUENTEZUELAS,7,NA,5,182,72
2019-01-01,16:20,RONDA DEL VALLE,2,16,12,10,66
2019-01-01,16:20,LAS FUENTEZUELAS,6,NA,5,184,72
2019-01-01,16:30,RONDA DEL VALLE,1,14,12,10,64
2019-01-01,16:30,LAS FUENTEZUELAS,5,NA,8,168,71
2019-01-01,16:40,RONDA DEL VALLE,2,13,11,10,66
2019-01-01,16:40,LAS FUENTEZUELAS,7,NA,25,373,52
2019-01-01,16:50,RONDA DEL VALLE,1,11,12,10,65
2019-01-01,16:50,LAS FUENTEZUELAS,7,NA,28,486,51
2019-01-01,17:00,RONDA DEL VALLE,1,8,10,10,73
2019-01-01,17:00,LAS FUENTEZUELAS,7,NA,35,599,45
2019-01-01,17:10,RONDA DEL VALLE,1,8,17,10,59
2019-01-01,17:10,LAS FUENTEZUELAS,6,NA,25,448,48
2019-01-01,17:20,RONDA DEL VALLE,1,8,22,10,46
2019-01-01,17:20,LAS FUENTEZUELAS,7,NA,32,432,47
2019-01-01,17:30,RONDA DEL VALLE,2,10,33,10,35
2019-01-01,17:30,LAS FUENTEZUELAS,7,NA,30,358,51
2019-01-01,17:40,RONDA DEL VALLE,2,13,37,11,30
2019-01-01,17:40,LAS FUENTEZUELAS,7,NA,30,416,51
2019-01-01,17:50,RONDA DEL VALLE,3,14,55,32,15
2019-01-01,17:50,LAS FUENTEZUELAS,6,NA,26,374,52
2019-01-01,18:00,RONDA DEL VALLE,3,10,78,129,6
2019-01-01,18:00,LAS FUENTEZUELAS,7,NA,42,494,38
2019-01-01,18:10,RONDA DEL VALLE,4,12,87,390,4
2019-01-01,18:10,LAS FUENTEZUELAS,7,NA,35,533,46
2019-01-01,18:20,RONDA DEL VALLE,4,22,90,537,3
2019-01-01,18:20,LAS FUENTEZUELAS,6,NA,33,413,46
2019-01-01,18:30,RONDA DEL VALLE,11,27,93,675,2
2019-01-01,18:30,LAS FUENTEZUELAS,7,NA,35,421,45
2019-01-01,18:40,RONDA DEL VALLE,12,39,93,785,2
2019-01-01,18:40,LAS FUENTEZUELAS,6,NA,38,515,44
2019-01-01,18:50,RONDA DEL VALLE,13,49,93,829,3
2019-01-01,18:50,LAS FUENTEZUELAS,7,NA,35,531,42
2019-01-01,19:00,RONDA DEL VALLE,13,53,98,966,2
2019-01-01,19:00,LAS FUENTEZUELAS,7,NA,38,504,39
2019-01-01,19:10,RONDA DEL VALLE,15,58,99,785,3
2019-01-01,19:10,LAS FUENTEZUELAS,7,NA,37,461,41
2019-01-01,19:20,RONDA DEL VALLE,15,64,94,853,2
2019-01-01,19:20,LAS FUENTEZUELAS,8,NA,43,529,36
2019-01-01,19:30,RONDA DEL VALLE,15,67,95,803,1
2019-01-01,19:30,LAS FUENTEZUELAS,7,NA,25,434,49
2019-01-01,19:40,RONDA DEL VALLE,15,67,95,796,1
2019-01-01,19:40,LAS FUENTEZUELAS,6,NA,27,453,51
2019-01-01,19:50,RONDA DEL VALLE,15,63,91,736,1
2019-01-01,19:50,LAS FUENTEZUELAS,8,NA,37,517,43
2019-01-01,20:00,RONDA DEL VALLE,15,60,88,1008,2
2019-01-01,20:00,LAS FUENTEZUELAS,7,NA,34,491,44
2019-01-01,20:10,RONDA DEL VALLE,14,63,89,719,2
2019-01-01,20:10,LAS FUENTEZUELAS,7,NA,29,464,47
2019-01-01,20:20,RONDA DEL VALLE,14,68,86,901,3
2019-01-01,20:20,LAS FUENTEZUELAS,8,NA,34,538,44
2019-01-01,20:30,RONDA DEL VALLE,13,66,81,850,2
2019-01-01,20:30,LAS FUENTEZUELAS,7,NA,34,518,43
2019-01-01,20:40,RONDA DEL VALLE,13,65,83,860,2
2019-01-01,20:40,LAS FUENTEZUELAS,7,NA,29,487,47
2019-01-01,20:50,RONDA DEL VALLE,14,63,85,1030,1
2019-01-01,20:50,LAS FUENTEZUELAS,6,NA,28,518,50
2019-01-01,21:00,RONDA DEL VALLE,14,61,81,976,2
2019-01-01,21:00,LAS FUENTEZUELAS,6,NA,33,546,46
2019-01-01,21:10,RONDA DEL VALLE,11,56,74,562,1
2019-01-01,21:10,LAS FUENTEZUELAS,6,NA,36,558,44
2019-01-01,21:20,RONDA DEL VALLE,12,52,75,807,2
2019-01-01,21:20,LAS FUENTEZUELAS,6,NA,28,527,49
2019-01-01,21:30,RONDA DEL VALLE,12,50,78,805,2
2019-01-01,21:30,LAS FUENTEZUELAS,6,NA,32,559,47
2019-01-01,21:40,RONDA DEL VALLE,13,51,83,874,1
2019-01-01,21:40,LAS FUENTEZUELAS,7,NA,27,536,52
2019-01-01,21:50,RONDA DEL VALLE,11,53,74,390,2
2019-01-01,21:50,LAS FUENTEZUELAS,7,NA,26,481,53
2019-01-01,22:00,RONDA DEL VALLE,11,50,77,383,1
2019-01-01,22:00,LAS FUENTEZUELAS,6,NA,28,478,49
2019-01-01,22:10,RONDA DEL VALLE,11,45,78,489,1
2019-01-01,22:10,LAS FUENTEZUELAS,6,NA,22,504,53
2019-01-01,22:20,RONDA DEL VALLE,12,43,79,515,1
2019-01-01,22:20,LAS FUENTEZUELAS,6,NA,17,440,57
2019-01-01,22:30,RONDA DEL VALLE,12,40,77,347,1
2019-01-01,22:30,LAS FUENTEZUELAS,7,NA,21,481,55
2019-01-01,22:40,RONDA DEL VALLE,11,34,77,278,1
2019-01-01,22:40,LAS FUENTEZUELAS,5,NA,19,508,56
2019-01-01,22:50,RONDA DEL VALLE,11,28,74,242,1
2019-01-01,22:50,LAS FUENTEZUELAS,6,NA,17,468,56
2019-01-01,23:00,RONDA DEL VALLE,10,27,76,367,1
2019-01-01,23:00,LAS FUENTEZUELAS,7,NA,16,507,57
2019-01-01,23:10,RONDA DEL VALLE,11,28,77,457,2
2019-01-01,23:10,LAS FUENTEZUELAS,6,NA,18,708,56
2019-01-01,23:20,RONDA DEL VALLE,10,30,68,502,3
2019-01-01,23:20,LAS FUENTEZUELAS,6,NA,18,668,57
2019-01-01,23:30,RONDA DEL VALLE,10,25,67,450,3
2019-01-01,23:30,LAS FUENTEZUELAS,6,NA,18,574,57
2019-01-01,23:40,RONDA DEL VALLE,10,24,59,328,7
2019-01-01,23:40,LAS FUENTEZUELAS,6,NA,15,470,58
2019-01-01,23:50,RONDA DEL VALLE,10,25,64,302,6
2019-01-01,23:50,LAS FUENTEZUELAS,7,NA,18,406,55
2019-01-02,00:00,RONDA DEL VALLE,11,22,69,390,2
2019-01-02,00:00,LAS FUENTEZUELAS,6,NA,12,430,60
2019-01-02,00:10,RONDA DEL VALLE,7,22,57,205,9
2019-01-02,00:10,LAS FUENTEZUELAS,6,NA,13,427,59
2019-01-02,00:20,RONDA DEL VALLE,6,24,58,273,6
2019-01-02,00:20,LAS FUENTEZUELAS,6,NA,11,426,61
2019-01-02,00:30,RONDA DEL VALLE,8,32,40,64,19
2019-01-02,00:30,LAS FUENTEZUELAS,6,NA,11,388,60
2019-01-02,00:40,RONDA DEL VALLE,9,30,62,336,4
2019-01-02,00:40,LAS FUENTEZUELAS,7,NA,10,363,62
2019-01-02,00:50,RONDA DEL VALLE,9,35,49,203,12
2019-01-02,00:50,LAS FUENTEZUELAS,7,NA,10,357,61
2019-01-02,01:00,RONDA DEL VALLE,9,35,60,372,3
2019-01-02,01:00,LAS FUENTEZUELAS,6,NA,8,322,60
