FECHA,max_SO2,min_SO2,mean_SO2,median_SO2,max_PART,min_PART,mean_PART,median_PART,max_NO2,min_NO2,mean_NO2,median_NO2,max_CO,min_CO,mean_CO,median_CO,max_O3,min_O3,mean_O3,median_O3
2015-01-01,15,3,8.77972027972028,9,77,5,19,5,99,5,31.2097902097902,26,1176,50,355.846153846154,325,80,2,37.2902097902098,41.5
2015-01-02,29,2,8.71527777777778,8,124,5,20.6875,5,208,9,38.8923611111111,28,2777,53,394.364583333333,294.5,67,1,32.1388888888889,32
2015-01-03,16,4,8.53819444444444,9,82,5,21.9409722222222,5,147,8,41.1944444444444,38,1226,51,355.479166666667,314,75,1,30.8611111111111,32
2015-01-04,18,3,8.25694444444444,8,82,5,19.90625,5,129,8,36.9756944444444,27,1593,52,385.291666666667,327.5,81,1,33.8715277777778,36
2015-01-05,22,1,7.91319444444444,8,103,5,27.8055555555556,5,133,6,41.4583333333333,38,1357,7,337.336805555556,323.5,79,1,29.2291666666667,28
2015-01-06,14,2,6.71180555555556,7,95,5,29.7743055555556,15.5,117,6,28.4479166666667,22,1330,50,263.201388888889,245.5,72,1,33.2048611111111,37
2015-01-07,15,2,7.78819444444444,8,77,5,25.3854166666667,8,123,9,36.7083333333333,29.5,1294,52,374.274305555556,360,70,1,26.7743055555556,25
2015-01-08,25,1,7.0625,8,76,5,25.1631944444444,5,113,8,35.375,32,970,50,274.329861111111,257.5,71,1,31.2013888888889,28.5
2015-01-09,21,3,8.29513888888889,8,99,5,22.5277777777778,6.5,158,6,36.2916666666667,28,1615,7,297.611111111111,230,66,1,31.8090277777778,32
2015-01-10,18,2,8.05208333333333,8,84,5,22.7604166666667,9,116,9,37.7326388888889,30.5,1411,50,350.131944444444,277,90,1,33.9513888888889,32
2015-01-11,18,2,7.98263888888889,8,80,5,24.1770833333333,9,116,6,34.7395833333333,28,979,50,262.503472222222,244,93,2,39.0625,40.5
2015-01-12,18,1,8.15625,8,82,5,18.7118055555556,5,123,4,28.5347222222222,15,1729,7,281.006944444444,158,82,1,49.3819444444444,56
2015-01-13,19,2,7.40972222222222,8,94,5,26.6701388888889,13,149,8,38.5694444444444,31,1869,51,329.8125,251,93,1,36.0104166666667,39.5
2015-01-14,12,1,7.34375,8,126,5,31.2118055555556,13,117,7,36.7951388888889,31,1325,50,270.184027777778,233.5,92,1,37.0798611111111,30
2015-01-15,20,1,6.42013888888889,7,83,5,21.8194444444444,5,107,5,21.1909722222222,15,3830,7,210.822916666667,146.5,79,1,48.8715277777778,56
2015-01-16,29,1,7.17708333333333,7,69,5,14.1041666666667,5,62,4,12.6979166666667,7,438,50,131.34375,121.5,90,19,66.4513888888889,69
2015-01-17,11,1,6.39930555555556,7,70,5,15.6354166666667,5,66,3,14.7569444444444,10,800,50,262.913194444444,230.5,81,2,49.2847222222222,54.5
2015-01-18,9,1,5.55208333333333,6,36,5,12.8020833333333,5,39,2,10.3611111111111,9,571,50,183.885416666667,174.5,69,8,35.5381944444444,36
2015-01-19,16,1,5.30970149253731,7,68,5,12.3208955223881,5,48,1,10.2425373134328,6,647,50,196.055970149254,159.5,51,2,32.705223880597,35
2015-01-20,48,1,8.375,7,115,5,15.71875,5,69,5,10.0763888888889,6,787,7,231.850694444444,174.5,73,2,45.8784722222222,48.5
2015-01-21,10,1,5.85763888888889,7,33,5,10.6215277777778,5,38,5,8.86111111111111,6,791,50,160.996527777778,153,70,1,44.40625,50
2015-01-22,20,1,5.85069444444444,7,50,5,8.59027777777778,5,13,4,6.08680555555556,6,450,50,137.461805555556,157.5,80,46,65.1354166666667,66
2015-01-23,17,1,6.60416666666667,7,47,5,13.0138888888889,5,97,4,20.0347222222222,10,1291,7,200.944444444444,182.5,84,2,42.25,43
2015-01-24,10,2,6.26736111111111,7,39,5,11.9444444444444,5,71,5,18.2152777777778,14,487,50,157.649305555556,185.5,92,1,59.0381944444444,65
2015-01-25,11,2,6.5,7,36,5,10.6180555555556,5,50,4,15.1770833333333,12,260,50,118.25,126.5,88,19,66.9722222222222,69
